"","d$nombre_act","d$latitud","d$longitud"
"227","Bufetes jurídicos",19.43459108,-99.14012311
"228","Bufetes jurídicos",19.42894384,-99.20718661
"229","Bufetes jurídicos",19.36530793,-99.18189016
"230","Bufetes jurídicos",19.40624803,-99.16672309
"231","Bufetes jurídicos",19.36836431,-99.17619205
"232","Bufetes jurídicos",19.41863619,-99.15681091
"233","Bufetes jurídicos",19.42685465,-99.19451588
"234","Bufetes jurídicos",19.41816944,-99.14787308
"235","Bufetes jurídicos",19.41816771,-99.14787605
"236","Bufetes jurídicos",19.40582052,-99.16744802
"237","Bufetes jurídicos",19.39634766,-99.16758034
"238","Bufetes jurídicos",19.42718919,-99.16251567
"239","Bufetes jurídicos",19.38861463,-99.17183237
"240","Bufetes jurídicos",19.41651174,-99.16521047
"241","Bufetes jurídicos",19.38295091,-99.17440143
"242","Bufetes jurídicos",19.42592096,-99.17086048
"243","Bufetes jurídicos",19.42775533,-99.16044569
"244","Bufetes jurídicos",19.39812035,-99.15688294
"245","Bufetes jurídicos",19.428714,-99.19424808
"246","Bufetes jurídicos",19.42531137,-99.16345839
"247","Bufetes jurídicos",19.42528902,-99.20432662
"248","Bufetes jurídicos",19.42531137,-99.16345839
"249","Bufetes jurídicos",19.43463824,-99.13939486
"250","Bufetes jurídicos",19.4469124,-99.18368279
"251","Bufetes jurídicos",19.4332605,-99.15724308
"252","Bufetes jurídicos",19.38960747,-99.17262069
"253","Bufetes jurídicos",19.40589094,-99.17003939
"254","Bufetes jurídicos",19.43282412,-99.14923705
"255","Bufetes jurídicos",19.43298669,-99.14115257
"256","Bufetes jurídicos",19.43463824,-99.13939486
"257","Bufetes jurídicos",19.43298669,-99.14115257
"258","Bufetes jurídicos",19.41919376,-99.16260041
"259","Bufetes jurídicos",19.43392943,-99.14077589
"260","Bufetes jurídicos",19.43193225,-99.18084034
"261","Bufetes jurídicos",19.36944951,-99.18103556
"262","Bufetes jurídicos",19.42015204,-99.1560791
"263","Bufetes jurídicos",19.42388865,-99.1515501
"264","Bufetes jurídicos",19.3780263,-99.17245543
