id,stations.id,lat,lon,X1,X2,X3,X4,X5
251,385,19.375651,-99.18558,188,988,1307,1653,1944
252,386,19.37484,-99.185846,188,988,1307,1653,1944
253,387,19.37455556,-99.18050556,70,943,1267,1702,1973
254,388,19.373038,-99.181355,673,943,1267,1702,1924
255,389,19.373528,-99.179356,70,943,1267,1702,1973
256,345,19.384498,-99.172223,500,1176,1486,1633,2175
257,346,19.385019,-99.174077,153,728,1486,1633,2175
258,355,19.38205,-99.173291,241,978,1517,1836,2175
259,447,19.418858,-99.176776,60,935,1501,1569,1891
260,449,19.42018,-99.174393,17,1049,1237,1632,1894
261,113,19.430369,-99.154419,459,691,1361,1773,2164
262,114,19.428989,-99.153618,66,718,1361,1606,2164
263,115,19.429947,-99.159698,615,1024,1422,1600,2018
264,116,19.428985,-99.15664,317,691,1361,1802,1962
265,117,19.427132,-99.160369,243,853,1241,1646,1895
266,118,19.427114,-99.158251,87,910,1541,1775,1895
267,119,19.42679,-99.15554,278,765,1460,1606,1962
268,120,19.425437,-99.159458,476,925,1241,1775,1895
269,121,19.424137,-99.161317,2,701,1480,1805,1952
270,30,19.426442,-99.164323,223,1061,1293,1874,1935
271,31,19.427838,-99.161193,243,1154,1422,1646,1895
272,32,19.422705,-99.169922,460,1066,1373,1689,2004
273,33,19.424234,-99.166431,512,807,1282,1759,2120
274,34,19.424539,-99.163503,246,974,1248,1583,2120
275,35,19.424572,-99.163123,246,974,1248,1805,2120
276,22,19.424375,-99.172575,669,870,1433,1637,2080
277,23,19.425483,-99.170414,24,1175,1532,1692,1932
278,24,19.426102,-99.168992,109,919,1320,1692,1961
279,25,19.426944,-99.166946,111,854,1559,1736,1983
280,26,19.432685,-99.154726,346,1031,1397,1673,2005
281,27,19.429115,-99.162614,537,1206,1334,1600,2046
282,28,19.423542,-99.172494,669,1205,1433,1637,2080
283,404,19.373813,-99.157387,40,1160,1528,1599,2065
284,375,19.376865,-99.158818,493,1077,1528,1823,2098
285,376,19.375442,-99.161595,110,727,1528,1823,2062
286,333,19.387624,-99.180978,535,1178,1341,1652,2031
287,284,19.397693,-99.172981,520,872,1294,1803,1993
288,303,19.394842,-99.173025,44,814,1261,1630,1980
289,304,19.395043,-99.173821,583,814,1261,1830,1980
290,309,19.393162,-99.17956,52,1101,1335,1568,1920
291,306,19.393699,-99.175664,52,823,1269,1705,2089
292,307,19.393701,-99.175834,52,823,1269,1705,2089
293,289,19.397308,-99.174548,161,872,1367,1665,1993
