"","Fecha_Retiro","viajes"
"356",2017-06-15,36253
"357",2017-06-16,34833
"358",2017-06-17,14885
"359",2017-06-18,11381
"360",2017-06-19,34772
"361",2017-06-20,36897
"362",2017-06-21,36517
"363",2017-06-22,36622
"364",2017-06-23,34939
"365",2017-06-24,13879
"366",2017-06-25,12059
"367",2017-06-26,30702
"368",2017-06-27,31125
"369",2017-06-28,28181
"370",2017-06-29,30645
"371",2017-06-30,31596
"372",2017-07-01,12342
"373",2017-07-02,11081
"374",2017-07-03,30379
"375",2017-07-04,32810
"376",2017-07-05,32436
"377",2017-07-06,34436
"378",2017-07-07,31541
"379",2017-07-08,10805
"380",2017-07-09,10774
"381",2017-07-10,27667
"382",2017-07-11,27832
"383",2017-07-12,31779
"384",2017-07-13,33591
"385",2017-07-14,32021
"386",2017-07-15,14426
"387",2017-07-16,10940
"388",2017-07-17,32846
"389",2017-07-18,32867
"390",2017-07-19,33616
"391",2017-07-20,32550
"392",2017-07-21,28957
"393",2017-07-22,11718
"394",2017-07-23,10076
"395",2017-07-24,25810
"396",2017-07-25,26777
"397",2017-07-26,32477
"398",2017-07-27,30218
"399",2017-07-28,31308
"400",2017-07-29,13862
"401",2017-07-30,12434
"402",2017-07-31,32982
"403",2017-08-01,34483
"404",2017-08-02,34516
"405",2017-08-03,30522
"406",2017-08-04,31409
"407",2017-08-05,13877
"408",2017-08-06,12468
"409",2017-08-07,33593
"410",2017-08-08,35547
"411",2017-08-09,32018
"412",2017-08-10,23522
"413",2017-08-11,30929
"414",2017-08-12,14381
"415",2017-08-13,12315
"416",2017-08-14,32458
"417",2017-08-15,35997
"418",2017-08-16,36112
"419",2017-08-17,30809
"420",2017-08-18,29459
"421",2017-08-19,13905
"422",2017-08-20,12909
"423",2017-08-21,34354
"424",2017-08-22,36485
"425",2017-08-23,36792
"426",2017-08-24,36366
"427",2017-08-25,31382
"428",2017-08-26,13389
"429",2017-08-27,12152
"430",2017-08-28,26867
"431",2017-08-29,28761
"432",2017-08-30,25373
"433",2017-08-31,30416
"434",2017-09-01,29007
"435",2017-09-02,13968
"436",2017-09-03,11373
"437",2017-09-04,32304
"438",2017-09-05,32396
"439",2017-09-06,32669
"440",2017-09-07,34468
"441",2017-09-08,28102
"442",2017-09-09,10582
"443",2017-09-10,11101
"444",2017-09-11,34911
"445",2017-09-12,36356
"446",2017-09-13,36339
"447",2017-09-14,35135
"448",2017-09-15,27289
"449",2017-09-16,9643
"450",2017-09-17,10934
"451",2017-09-18,33940
"452",2017-09-19,21216
"453",2017-09-20,17295
"454",2017-09-21,21128
"455",2017-09-22,22761
"456",2017-09-23,11695
"457",2017-09-24,9553
"458",2017-09-25,23950
"459",2017-09-26,27737
"460",2017-09-27,28649
"461",2017-09-28,28904
"462",2017-09-29,27218
"463",2017-09-30,9387
"464",2017-10-01,8213
"465",2017-10-02,31090
"466",2017-10-03,32402
"467",2017-10-04,31960
"468",2017-10-05,32118
"469",2017-10-06,31116
"470",2017-10-07,13575
"471",2017-10-08,10551
"472",2017-10-09,32415
"473",2017-10-10,34349
"474",2017-10-11,33945
"475",2017-10-12,32947
"476",2017-10-13,32222
"477",2017-10-14,12838
"478",2017-10-15,11184
"479",2017-10-16,32299
"480",2017-10-17,35134
"481",2017-10-18,34582
"482",2017-10-19,32337
"483",2017-10-20,32079
"484",2017-10-21,13712
"485",2017-10-22,11638
"486",2017-10-23,33106
"487",2017-10-24,34677
"488",2017-10-25,33712
"489",2017-10-26,33599
"490",2017-10-27,31702
"491",2017-10-28,15263
"492",2017-10-29,11380
"493",2017-10-30,31673
"494",2017-10-31,31114
"495",2017-11-01,32183
"496",2017-11-02,19262
"497",2017-11-03,27926
"498",2017-11-04,18251
"499",2017-11-05,11609
"500",2017-11-06,33214
"501",2017-11-07,34935
"502",2017-11-08,34642
"503",2017-11-09,34349
"504",2017-11-10,32391
"505",2017-11-11,13983
"506",2017-11-12,11784
"507",2017-11-13,32848
"508",2017-11-14,34462
"509",2017-11-15,34733
"510",2017-11-16,34698
"511",2017-11-17,32893
"512",2017-11-18,13567
"513",2017-11-19,10139
"514",2017-11-20,11329
"515",2017-11-21,33505
"516",2017-11-22,33855
"517",2017-11-23,33081
"518",2017-11-24,31152
"519",2017-11-25,14294
"520",2017-11-26,10991
"521",2017-11-27,31921
"522",2017-11-28,33243
"523",2017-11-29,33019
"524",2017-11-30,32327
"525",2017-12-01,29785
"526",2017-12-02,12734
"527",2017-12-03,10647
"528",2017-12-04,31429
"529",2017-12-05,33649
"530",2017-12-06,32758
"531",2017-12-07,32433
"532",2017-12-08,30004
"533",2017-12-09,11631
"534",2017-12-10,9615
"535",2017-12-11,27804
"536",2017-12-12,25834
"537",2017-12-13,30164
"538",2017-12-14,29914
"539",2017-12-15,28177
"540",2017-12-16,12510
"541",2017-12-17,9722
"542",2017-12-18,27511
"543",2017-12-19,28657
"544",2017-12-20,28454
"545",2017-12-21,25870
"546",2017-12-22,22744
"547",2017-12-23,10514
"548",2017-12-24,5989
"549",2017-12-25,3377
"550",2017-12-26,16147
"551",2017-12-27,17244
"552",2017-12-28,16982
"553",2017-12-29,14961
"554",2017-12-30,7663
"555",2017-12-31,5627
"556",2018-01-01,3402
"557",2018-01-02,18538
"558",2018-01-03,22255
"559",2018-01-04,23565
"560",2018-01-05,23091
"561",2018-01-06,10587
"562",2018-01-07,9765
"563",2018-01-08,28537
"564",2018-01-09,30166
"565",2018-01-10,30224
"566",2018-01-11,30172
"567",2018-01-12,28551
"568",2018-01-13,11949
"569",2018-01-14,9790
"570",2018-01-15,28691
"571",2018-01-16,27938
"572",2018-01-17,28218
"573",2018-01-18,28947
"574",2018-01-19,27935
"575",2018-01-20,11906
"576",2018-01-21,10704
"577",2018-01-22,29683
"578",2018-01-23,29967
"579",2018-01-24,24250
"580",2018-01-25,28643
"581",2018-01-26,27135
"582",2018-01-27,11443
"583",2018-01-28,9152
"584",2018-01-29,25194
"585",2018-01-30,27121
"586",2018-01-31,28803
"587",2018-02-01,29218
"588",2018-02-02,28189
"589",2018-02-03,11020
"590",2018-02-04,9689
"591",2018-02-05,9933
"592",2018-02-06,30589
"593",2018-02-07,31528
"594",2018-02-08,29635
"595",2018-02-09,25669
"596",2018-02-10,12933
"597",2018-02-11,11468
"598",2018-02-12,30808
"599",2018-02-13,32317
"600",2018-02-14,32488
"601",2018-02-15,29949
"602",2018-02-16,24005
"603",2018-02-17,13890
"604",2018-02-18,12799
"605",2018-02-19,31261
"606",2018-02-20,33870
"607",2018-02-21,33042
"608",2018-02-22,32332
"609",2018-02-23,31196
"610",2018-02-24,15575
"611",2018-02-25,12328
"612",2018-02-26,31143
"613",2018-02-27,33354
"614",2018-02-28,33938
"615",2018-03-01,33227
"616",2018-03-02,31394
"617",2018-03-03,14353
"618",2018-03-04,12436
"619",2018-03-05,32204
"620",2018-03-06,33824
"621",2018-03-07,31712
"622",2018-03-08,32987
"623",2018-03-09,29181
"624",2018-03-10,14353
"625",2018-03-11,12727
"626",2018-03-12,30137
"627",2018-03-13,33258
"628",2018-03-14,30665
"629",2018-03-15,30858
"630",2018-03-16,30849
"631",2018-03-17,12918
"632",2018-03-18,11042
"633",2018-03-19,11329
"634",2018-03-20,31775
"635",2018-03-21,31791
"636",2018-03-22,32445
"637",2018-03-23,31030
"638",2018-03-24,15645
"639",2018-03-25,12529
"640",2018-03-26,27853
"641",2018-03-27,28443
"642",2018-03-28,26391
"643",2018-03-29,12044
"644",2018-03-30,8816
"645",2018-03-31,8847
"646",2018-04-01,10340
"647",2018-04-02,28368
"648",2018-04-03,29930
"649",2018-04-04,28130
"650",2018-04-05,28317
"651",2018-04-06,26383
"652",2018-04-07,14227
"653",2018-04-08,13006
"654",2018-04-09,32097
"655",2018-04-10,32158
"656",2018-04-11,31491
"657",2018-04-12,30995
"658",2018-04-13,31219
"659",2018-04-14,14256
"660",2018-04-15,11928
"661",2018-04-16,32153
"662",2018-04-17,33693
"663",2018-04-18,33459
"664",2018-04-19,32533
"665",2018-04-20,31064
"666",2018-04-21,13609
"667",2018-04-22,11794
"668",2018-04-23,30784
"669",2018-04-24,32301
"670",2018-04-25,32313
"671",2018-04-26,31148
"672",2018-04-27,30039
"673",2018-04-28,11864
"674",2018-04-29,11134
"675",2018-04-30,25590
"676",2018-05-01,12546
"677",2018-05-02,31772
"678",2018-05-03,31729
"679",2018-05-04,28257
"680",2018-05-05,13607
"681",2018-05-06,10943
"682",2018-05-07,31253
"683",2018-05-08,24877
"684",2018-05-09,32871
"685",2018-05-10,26150
"686",2018-05-11,30298
"687",2018-05-12,11953
"688",2018-05-13,11755
"689",2018-05-14,31633
"690",2018-05-15,33282
"691",2018-05-16,33097
"692",2018-05-17,32890
"693",2018-05-18,30710
"694",2018-05-19,12155
"695",2018-05-20,11226
"696",2018-05-21,30259
"697",2018-05-22,30990
"698",2018-05-23,33107
"699",2018-05-24,33354
"700",2018-05-25,30176
"701",2018-05-26,13569
"702",2018-05-27,12554
"703",2018-05-28,32108
"704",2018-05-29,33967
"705",2018-05-30,32770
"706",2018-05-31,32255
