,Fecha_Retiro,viajes
522,7/29/2015,32487
523,7/30/2015,30120
524,7/31/2015,30290
525,8/1/2015,13055
526,8/2/2015,12449
527,8/3/2015,30273
528,8/4/2015,32144
529,8/5/2015,31214
530,8/6/2015,32801
531,8/7/2015,29868
532,8/8/2015,14424
533,8/9/2015,13737
534,8/10/2015,32133
535,8/11/2015,31258
536,8/12/2015,32737
537,8/13/2015,28816
538,8/14/2015,31197
539,8/15/2015,14408
540,8/16/2015,13187
541,8/17/2015,28346
542,8/18/2015,33000
543,8/19/2015,33148
544,8/20/2015,32198
545,8/21/2015,28959
546,8/22/2015,14239
547,8/23/2015,13472
548,8/24/2015,32912
549,8/25/2015,34757
550,8/26/2015,35103
551,8/27/2015,34360
552,8/28/2015,32814
553,8/29/2015,13866
554,8/30/2015,11792
555,8/31/2015,32836
556,9/1/2015,32754
557,9/2/2015,27229
558,9/3/2015,26180
559,9/4/2015,29420
560,9/5/2015,14469
561,9/6/2015,12854
562,9/7/2015,34067
563,9/8/2015,34664
564,9/9/2015,35216
565,9/10/2015,34947
566,9/11/2015,33652
567,9/12/2015,14323
568,9/13/2015,12042
569,9/14/2015,27559
570,9/15/2015,27498
571,9/16/2015,8155
572,9/17/2015,24650
573,9/18/2015,29332
574,9/19/2015,16263
575,9/20/2015,13972
576,9/21/2015,33569
577,9/22/2015,36269
578,9/23/2015,34997
579,9/24/2015,34536
580,9/25/2015,32146
581,9/26/2015,11178
582,9/27/2015,11196
583,9/28/2015,26440
584,9/29/2015,27252
585,9/30/2015,32445
586,10/1/2015,32855
587,10/2/2015,32643
588,10/3/2015,14924
589,10/4/2015,13203
590,10/5/2015,33699
591,10/6/2015,36668
592,10/7/2015,35858
593,10/8/2015,35115
594,10/9/2015,34139
595,10/10/2015,15157
596,10/11/2015,13455
597,10/12/2015,34318
598,10/13/2015,36099
599,10/14/2015,35087
600,10/15/2015,35582
601,10/16/2015,33167
602,10/17/2015,13403
603,10/18/2015,10012
604,10/19/2015,32410
605,10/20/2015,35382
606,10/21/2015,35219
607,10/22/2015,35076
608,10/23/2015,33506
609,10/24/2015,15147
610,10/25/2015,13274
611,10/26/2015,32235
612,10/27/2015,32297
613,10/28/2015,28364
614,10/29/2015,35248
615,10/30/2015,30338
616,10/31/2015,16713
617,11/1/2015,10938
618,11/2/2015,18274
619,11/3/2015,34065
620,11/4/2015,34616
621,11/5/2015,35506
622,11/6/2015,33235
623,11/7/2015,15427
624,11/8/2015,12171
625,11/9/2015,34612
